product_id,code,description,category,brand,manufacturer,status
175979988,4630121106754,TAIGA SIBERICA TUVA OB`YOM I SVEZHEST`(SHM270ML+HCR SER.170M ,BPZ - BANDED PACKS,TAIGA SIBERICA (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
151169130,4640089152281,SILVER GARDEN BLACKBERRY (SRG250ML+BCR200ML) ,BPZ - BANDED PACKS,SILVER GARDEN (FESTIVA/MOSKVA),FESTIVA/MOSKVA,Active
41729384,4620020871037,ALISA V STRANE CHUDES VESYOLOE CHAEPITIE(250XSHM+SRG) ,BPZ - BANDED PACKS,ALISA V STRANE CHUDES (FESTIVA/MOSKVA),FESTIVA/MOSKVA,Active
38302122,4680008124913,BLUE MARINE COOL FOR MEN(SHM250+SHP200) ,BPZ - BANDED PACKS,BLUE MARINE,FESTIVA/MOSKVA,Active
69584778,4620046174778,ECOLATIER ORGANIC AVOCADO(200XSRG+BCR) ,BPZ - BANDED PACKS,ECOLATIER (GRINKOSMETIK GRUPP/MOSKVA),GRINKOSMETIK GRUPP/MOSKVA,Active
24890121,4640011155410,VIKING SNEZH.VERSHINY(75XSHP C+MFR C) ,BPZ - BANDED PACKS,NA,NA,Active
49692260,4680016720633,COSA NOSTRA FOR MEN(125XSHP G+MFR G-B) ,BPZ - BANDED PACKS,COSA NOSTRA (PARIS LINE PARFUMS/FRANCE),PARIS LINE PARFUMS/FRANCE,Active
71079690,4630049645212,COMPLIMENT KIDS MOY PREKR.PONI N1903(200XSHM+SRG+CPC FR) ,BPZ - BANDED PACKS,COMPLIMENT (TIMEKS KOSMETIK/MOSKVA),TIMEKS KOSMETIK/MOSKVA,Active
83886385,4630061625438,EPICA PROF.SILK WAVES(SHM300+2XHCRX300) ,BPZ - BANDED PACKS,EPICA PROFESSIONAL (INTEGRA/ZHUKOVSKIY),INTEGRA/ZHUKOVSKIY,Active
69935509,4640089150218,ALISA V STRANE CHUDES VESYOL.CHAEPITIE(LPS+CPC) ,BPZ - BANDED PACKS,ALISA V STRANE CHUDES (FESTIVA/MOSKVA),FESTIVA/MOSKVA,Active
223845321,4630262807688,WEIS+CARELAX+BAMBOLINA RETSEPT SCHAST`YA(2XSRG+SHM),BPZ - BANDED PACKS,UNABLE TO SEGMENT (ERA HPC DISTRIBUTION/SANKT-PETERBURG),ERA HPC DISTRIBUTION/SANKT-PETERBURG,Active
93534319,4680046276735,ORGANELL GENTLEMEN(SRG250ML+P/V33ML) ,BPZ - BANDED PACKS,ORGANELL (ZELYONAYA MANUFAKTURA/MOSKVA),ZELYONAYA MANUFAKTURA/MOSKVA,Active
84303576,4630049645243,COMPLIMENT KERATIN N1870(2XHCRX200 SER+BAL-MC+CPC FR) ,BPZ - BANDED PACKS,COMPLIMENT (TIMEKS KOSMETIK/MOSKVA),TIMEKS KOSMETIK/MOSKVA,Active
94739981,4680046273000,ORGANELL FLEUR NARCOTIQUE (SRG250ML+P/V33ML) ,BPZ - BANDED PACKS,ORGANELL (ZELYONAYA MANUFAKTURA/MOSKVA),ZELYONAYA MANUFAKTURA/MOSKVA,Active
209445216,4650212021346,TIME DENT (TBR + 2CPC) ,BPZ - BANDED PACKS,TIME DENT (OLEOS/PODOL`SK),OLEOS/PODOL`SK,Active
140028400,4660048363022,GLO HYPER X2 BLACK (NBU + NBS 2PCKS) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (INTERNATIONAL TOBACCO MARKETING SERVICES),INTERNATIONAL TOBACCO MARKETING SERVICES,Active
148130432,4650118441538,BEAUTERICA WINTER SPA N25(HAC270ML+SOA270M) ,BPZ - BANDED PACKS,BEAUTERICA (KOSMEYA/MOSKVA),KOSMEYA/MOSKVA,Active
153407552,4627079682508,BLITZ (6XCAT CHI&PL H2X85G+CHI&TU H2X85G+CHI&CO 2X85G)1FR ,BPZ - BANDED PACKS,BLITZ (KOMPANIYA AKANA/MOSKOVSKAYA OBL.),KOMPANIYA AKANA/MOSKOVSKAYA OBL.,Active
