product_id,code,description,category,brand,manufacturer,status
19545697,4607167070059,VNUK DLYA LAGMANA LAPSHA H 0.25KG S ,PST - PASTA DRY,VNUK,VNUK/G.CHELYABINSK,Active
42565379,4630017542574,ZB WINE(ZOL.BALKA AG) FRIZZANTE DRY W BO J 0.75L R,SPW - SPARKLING WINE,ZB WINE (ZOLOTAYA BALKA AGROFIRMA/SEVASTOPOL`),ZOLOTAYA BALKA AGROFIRMA/SEVASTOPOL`,Active
42565379,4630017545230,ZB WINE(ZOL.BALKA AG) FRIZZANTE DRY W BO J 0.75L R,SPW - SPARKLING WINE,ZB WINE (ZOLOTAYA BALKA AGROFIRMA/SEVASTOPOL`),ZOLOTAYA BALKA AGROFIRMA/SEVASTOPOL`,Active
80058828,4630056268275,EXTRA ALOE(FEMILI KOSMETIK) DLYA VSEY SEM`I SPF50 C T&L 0.1L TU ,SPR - SUNTAN PREPARATIONS,EXTRA ALOE (FEMILI KOSMETIK/MOSKVA),FEMILI KOSMETIK/MOSKVA,Active
42712468,4680021882296,DZHUMKA(KDV)   VOZD-KUKR&KARML   MCH   0.037KG   ,WAF - CHOCOLATE WAFERS,DZHUMKA (KDV GRUPP),KDV GRUPP,Active
53317290,4610004971143,FATHERS OLD BARREL(STELLAR) 7Y 0.5L R ,BRN - BRANDY,FATHERS OLD BARREL (STELLAR GROUP/MOSKVA),STELLAR GROUP/MOSKVA,Active
20942453,4607131426493,RAPTOR TURBO Q LIQD     Z  0.035L 40 NIGHTS ,INS - INSECTICIDES,RAPTOR (UPECO/MOSKVA),UPECO/MOSKVA,Active
24264951,4607150088139,MAGGI NA VTOROE SLIVOCH-TOMAT-SS&TEFT VT-BLYD S 0.03KG  ,MDK - DINNER KIT/MEAL KIT,MAGGI (NESTLE),NESTLE,Active
33235853,4607934470082,SDOBNAYA OSOBA AVSTRIYSKIY  APELS&LIM S  0.4KG K ,DES - SWEET PROD(RTE AMBIEN)-STRUDEL,SDOBNAYA OSOBA (CHERYOMUSHKI GK),CHERYOMUSHKI GK,Active
46416408,4620014520170,KURIL`SKIY BEREG  GORBSH     0.25KG B  ,FSC - FISH CONTAINERED,KURIL`SKIY BEREG (GIDROSTROY/SAKHALINSKAYA OBL),GIDROSTROY/SAKHALINSKAYA OBL,Active
33699570,4607132037506,KALINKA(KALINKA GK/CHELYAB.)  GOST SERV. GOV&SV KOLB BL B/SM 0.35KG ,AER - MEAT PRODUCTS(RTE REFRIGERATED,KALINKA (KALINKA GK/CHELYABINSK),KALINKA GK/CHELYABINSK,Active
19092271,4607157026721,STARKA NAS 0.5L ,VOD - VODKA,STARKA (SOYUZPLODOIMPORT FKP),SOYUZPLODOIMPORT FKP,Active
24002157,4607131383802,MD GOR`KIY SLUZHU OTECHESTVU BCH TB FO 0.075KG K,CHO - CHOCOLATES,MD (MONETNIY DVOR),MONETNIY DVOR,Active
34712558,4680006908959,GRONDARD NABOR PATRONOV   F 0.06KG ,CHF - CHOCOLATE NOVELTIES,GRONDARD (ATSTEK/SPB),ATSTEK/SPB,Active
18738534,4620007590692,CHYORNAYA KARTA(STRAUSS GROUP) GOLD I F 0.075KG S ,COF - COFFEE,CHYORNAYA KARTA (STRAUSS GROUP),STRAUSS GROUP,Active
57889251,4650064287051,VELIKOLUKSKIY MK  ZERNIS.SERV. KUR&SV KOLB BL B/SM 0.4KG ,AER - MEAT PRODUCTS(RTE REFRIGERATED,VELIKOLUKSKIY MK,VELIKOLUKSKIY MK/VELIKIE LUKI,Active
24720407,4607106444354,MIRATORG  SOT-S-PROVNSKM-TRAVM 0.4KG S ,DNC - DINNERS(RTC FROZEN),MIRATORG,MIRATORG AGROPROMYSHLENNIY KHOLDING,Active
77528540,4680012390137,VEET MINIMA  SENS C WOM ARMS&LGS 0.1L  ,DEP - DEPILATORIES,VEET,RECKITT,Active
103128461,4620739978614,EXXE(ARVITEKS) D M C P 0.4L ,SRG - SHOWER GEL&BUBBLE BATH,EXXE (ARVITEKS/MOSKVA),ARVITEKS/MOSKVA,Active
26420551,4640017640125,MUVI(SVIT) MINI-KARAMEL` MIKS HF 0.15KG S ,BON - SWEETS NON-CHOCOLATE,MUVI (SVIT/EKATERINBURG),SVIT/EKATERINBURG,Active
21967769,4623722258441,SYNERGETIC     L  USG 0.5L SPM  ,SOA - TOILET SOAPS,SYNERGETIC (SYNERGETIC/N.NOVGOROD),SYNERGETIC/N.NOVGOROD,Active
44787190,4690214092388,ELSEVE POLN.VOSST.5 DM 0.4L BO 30%-SKIDK,SHM - SHAMPOO,ELSEVE (LOREAL/LOREAL PARIS),LOREAL/LOREAL PARIS,Active
21253452,4607065001674,CESAR(MARS) GOVYDN&KROLK&SHPNT A SOUS H 0.1KG DW,DOG - DOG FOOD,CESAR (MARS),MARS,Active
47841504,4680007208812,PLANETA ORGANICA UVL D C P 0.28L ,SRG - SHOWER GEL&BUBBLE BATH,PLANETA ORGANICA (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
24264663,4607174434387,OBLEPIKHA SIBERICA MAKSIMAL`NIY OB`YOM OBLEPIKHOVIY U 0.5L HU ,SHM - SHAMPOO,OBLEPIKHA SIBERICA (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
